step,time_elapsed,mean_reward,std_reward
10000,27.433,-0.902,0.511
20000,47.934,-0.904,0.52
30000,69.196,-0.936,0.458
40000,92.575,-0.929,0.462
50000,113.902,-0.921,0.498
60000,136.507,-0.915,0.5
70000,156.477,-0.906,0.503
80000,177.693,-0.989,0.364
90000,197.104,-0.965,0.403
100000,217.31,-0.937,0.455
110000,254.026,-0.947,0.455
120000,274.02,-0.782,0.697
130000,295.257,-0.858,0.611
140000,315.961,-0.845,0.615
150000,336.56,-0.844,0.618
160000,356.412,-0.9,0.556
170000,375.864,-0.908,0.534
180000,395.522,-0.815,0.648
190000,416.19,-0.854,0.613
200000,436.471,-0.771,0.71
210000,474.295,-0.7,0.767
220000,494.428,-0.719,0.759
230000,514.542,-0.821,0.653
240000,535.971,-0.761,0.71
250000,556.677,-0.652,0.805
260000,577.031,-0.833,0.637
270000,598.187,-0.742,0.726
280000,617.532,-0.789,0.696
290000,636.645,-0.878,0.586
300000,655.99,-0.756,0.719
310000,692.074,-0.79,0.696
320000,712.993,-0.755,0.731
330000,733.26,-0.604,0.848
340000,755.409,-0.791,0.697
350000,775.79,-0.714,0.772
360000,796.156,-0.707,0.778
370000,816.494,-0.817,0.658
380000,837.258,-0.747,0.737
390000,858.205,-0.765,0.715
400000,878.262,-0.638,0.816
410000,919.712,-0.654,0.808
420000,940.419,-0.66,0.814
430000,966.287,-0.72,0.765
440000,993.003,-0.694,0.789
450000,1019.415,-0.668,0.812
460000,1045.713,-0.667,0.816
470000,1071.007,-0.679,0.803
480000,1094.155,-0.698,0.782
490000,1116.929,-0.713,0.764
500000,1139.353,-0.629,0.836
510000,1162.354,-0.617,0.85
520000,1205.003,-0.675,0.8
530000,1228.13,-0.668,0.795
540000,1250.849,-0.645,0.818
550000,1272.69,-0.79,0.708
560000,1295.059,-0.616,0.854
570000,1317.63,-0.552,0.882
580000,1339.805,-0.671,0.806
590000,1361.977,-0.76,0.739
600000,1384.32,-0.583,0.853
610000,1406.014,-0.715,0.779
620000,1446.156,-0.627,0.841
630000,1467.716,-0.601,0.851
640000,1489.317,-0.411,0.945
650000,1511.377,-0.5,0.912
660000,1533.496,-0.563,0.885
670000,1555.855,-0.609,0.845
680000,1577.461,-0.558,0.882
690000,1600.106,-0.515,0.894
700000,1622.268,-0.617,0.845
710000,1644.424,-0.53,0.892
720000,1686.162,-0.478,0.922
730000,1708.323,-0.347,0.975
740000,1730.169,-0.573,0.874
750000,1752.156,-0.575,0.881
760000,1774.129,-0.469,0.929
770000,1796.09,-0.424,0.934
780000,1818.656,-0.435,0.94
790000,1841.016,-0.596,0.869
800000,1862.484,-0.456,0.938
810000,1883.386,-0.542,0.896
820000,1927.048,-0.42,0.949
830000,1945.628,-0.568,0.872
840000,1967.394,-0.35,0.969
850000,1989.451,-0.443,0.935
