step,time_elapsed,mean_reward,std_reward
10000,30.122,-0.898,0.46
20000,53.794,-0.913,0.431
30000,205.421,-0.903,0.452
40000,357.528,-0.892,0.474
50000,510.147,-0.873,0.506
60000,662.628,-0.855,0.535
70000,815.176,-0.832,0.57
80000,968.259,-0.837,0.562
90000,1123.296,-0.811,0.598
100000,1278.889,-0.813,0.594
110000,1463.889,-0.776,0.64
120000,1619.059,-0.828,0.571
130000,1780.789,-0.774,0.641
140000,1942.8,-0.766,0.651
150000,2102.489,-0.789,0.622
160000,2261.945,-0.81,0.596
170000,2421.34,-0.835,0.56
180000,2581.336,-0.801,0.607
190000,2741.373,-0.796,0.614
200000,2900.491,-0.844,0.548
210000,3115.725,-0.81,0.596
220000,3275.816,-0.822,0.579
230000,3435.901,-0.803,0.605
240000,3595.655,-0.835,0.561
250000,3755.444,-0.84,0.553
260000,3916.187,-0.796,0.615
270000,4076.534,-0.822,0.58
280000,4237.02,-0.824,0.576
290000,4397.053,-0.824,0.577
300000,4558.122,-0.799,0.611
310000,4802.86,-0.815,0.59
320000,4963.452,-0.802,0.607
330000,5125.176,-0.791,0.621
340000,5286.421,-0.805,0.603
350000,5448.053,-0.806,0.602
360000,5609.534,-0.801,0.608
370000,5770.244,-0.797,0.614
380000,5930.755,-0.816,0.589
390000,6091.813,-0.819,0.584
400000,6253.186,-0.83,0.568
410000,6533.782,-0.804,0.604
420000,6694.494,-0.802,0.607
430000,6854.95,-0.824,0.577
440000,7016.2,-0.792,0.62
450000,7178.337,-0.825,0.576
460000,7339.03,-0.784,0.629
470000,7499.632,-0.811,0.596
480000,7660.194,-0.811,0.595
490000,7821.961,-0.789,0.623
500000,7982.617,-0.797,0.613
510000,8290.129,-0.795,0.616
520000,8451.953,-0.781,0.634
530000,8613.849,-0.755,0.663
540000,8775.383,-0.783,0.632
550000,8937.278,-0.791,0.621
560000,9099.335,-0.773,0.644
570000,9261.703,-0.794,0.618
580000,9423.981,-0.779,0.636
590000,9587.117,-0.786,0.628
600000,9748.83,-0.758,0.661
610000,10060.86,-0.797,0.613
620000,10223.766,-0.769,0.649
630000,10386.141,-0.785,0.629
640000,10547.721,-0.81,0.597
650000,10710.053,-0.792,0.62
660000,10872.736,-0.793,0.619
670000,11035.322,-0.796,0.615
680000,11197.224,-0.771,0.646
690000,11360.612,-0.769,0.649
700000,11523.025,-0.766,0.652
710000,11836.229,-0.799,0.611
720000,11998.39,-0.759,0.66
730000,12160.034,-0.761,0.657
740000,12322.147,-0.732,0.689
750000,12485.846,-0.773,0.643
760000,12649.187,-0.764,0.654
770000,12812.106,-0.751,0.669
780000,12974.828,-0.79,0.623
790000,13138.118,-0.783,0.631
800000,13298.064,-0.781,0.633
810000,13609.591,-0.774,0.642
820000,13768.376,-0.783,0.631
830000,13927.575,-0.767,0.651
840000,14086.042,-0.781,0.634
850000,14244.951,-0.793,0.619
860000,14407.74,-0.776,0.64
870000,14568.907,-0.781,0.633
880000,14735.772,-0.742,0.678
890000,14901.298,-0.762,0.656
900000,15067.275,-0.759,0.66
910000,15387.033,-0.758,0.662
920000,15553.628,-0.799,0.611
930000,15719.089,-0.758,0.661
940000,15884.96,-0.793,0.618
950000,16050.194,-0.749,0.671
960000,16215.646,-0.745,0.675
970000,16377.387,-0.782,0.632
980000,16543.762,-0.736,0.685
990000,16713.889,-0.791,0.621
1000000,16879.079,-0.756,0.664
1010000,17203.396,-0.741,0.68
1020000,17366.882,-0.745,0.675
1030000,17528.742,-0.791,0.622
1040000,17690.547,-0.779,0.636
1050000,17853.299,-0.753,0.667
1060000,18015.161,-0.787,0.626
1070000,18178.925,-0.757,0.662
1080000,18343.485,-0.771,0.647
1090000,18509.665,-0.753,0.667
1100000,18674.038,-0.714,0.708
1110000,18995.313,-0.765,0.653
1120000,19157.881,-0.746,0.675
1130000,19320.222,-0.708,0.714
1140000,19482.607,-0.757,0.662
1150000,19646.349,-0.777,0.639
1160000,19808.852,-0.753,0.667
1170000,19971.498,-0.748,0.672
1180000,20135.757,-0.75,0.671
1190000,20299.638,-0.769,0.648
1210000,230.144,-0.738,0.682
1220000,256.444,-0.78,0.634
1230000,415.646,-0.862,0.527
1240000,574.692,-0.939,0.373
1250000,733.222,-0.909,0.439
1260000,890.813,-0.902,0.456
1270000,1049.219,-0.841,0.56
1280000,1207.409,-0.77,0.652
1290000,1369.932,-0.693,0.731
1300000,1537.328,-0.696,0.726
1310000,1864.903,-0.735,0.687
1320000,2028.212,-0.7,0.721
1330000,2191.859,-0.73,0.691
1340000,2354.512,-0.767,0.65
1350000,2517.178,-0.74,0.681
1360000,2679.603,-0.702,0.72
1370000,2842.234,-0.742,0.679
1380000,3005.279,-0.751,0.669
1390000,3168.054,-0.727,0.694
1400000,3330.231,-0.742,0.678
1410000,3654.504,-0.758,0.66
1420000,3816.139,-0.712,0.709
1430000,3978.084,-0.74,0.681
1440000,4139.282,-0.734,0.687
1450000,4300.241,-0.717,0.705
1460000,4460.999,-0.753,0.665
1470000,4623.043,-0.739,0.681
1480000,4784.415,-0.75,0.67
1490000,4945.235,-0.762,0.656
1500000,5106.837,-0.704,0.717
1510000,5437.068,-0.712,0.71
1520000,5597.793,-0.744,0.676
1530000,5759.839,-0.735,0.686
1540000,5920.797,-0.758,0.661
1550000,6082.293,-0.746,0.673
1560000,6243.198,-0.746,0.674
1570000,6403.883,-0.729,0.692
1580000,6565.068,-0.748,0.672
1590000,6725.446,-0.761,0.657
1600000,6886.272,-0.775,0.64
1610000,7209.574,-0.78,0.634
1620000,7371.055,-0.75,0.67
1630000,7530.895,-0.748,0.672
1640000,7691.133,-0.73,0.691
1650000,7851.04,-0.735,0.685
1660000,8011.727,-0.752,0.668
1670000,8172.086,-0.76,0.659
1680000,8332.586,-0.743,0.677
1690000,8493.409,-0.728,0.693
1700000,8654.319,-0.756,0.662
1710000,8976.308,-0.76,0.658
1720000,9137.171,-0.745,0.675
1730000,9297.51,-0.722,0.7
1740000,9458.489,-0.75,0.669
1750000,9619.179,-0.747,0.673
1760000,9779.742,-0.746,0.674
1770000,9940.233,-0.743,0.677
1780000,10100.842,-0.733,0.688
1790000,10261.213,-0.739,0.682
1800000,10422.717,-0.727,0.694
1810000,10751.176,-0.737,0.684
1820000,10911.224,-0.728,0.693
1830000,11072.756,-0.721,0.7
1840000,11233.286,-0.72,0.702
1850000,11394.505,-0.729,0.692
1860000,11554.831,-0.736,0.685
1870000,11715.088,-0.729,0.693
1880000,11876.213,-0.716,0.706
1890000,12036.857,-0.731,0.691
1910000,227.305,-0.764,0.653
1920000,250.894,-0.744,0.676
1930000,406.29,-0.881,0.495
1940000,564.202,-0.874,0.505
1950000,719.429,-0.925,0.407
1960000,874.372,-0.884,0.488
1970000,1030.48,-0.844,0.554
1980000,1186.94,-0.79,0.627
1990000,1345.742,-0.732,0.691
2000000,35.683,-1.004,0.0
2010000,223.776,-0.723,0.698
2020000,246.014,-0.702,0.719
2030000,398.816,-0.911,0.436
2040000,553.46,-0.931,0.39
2050000,705.972,-0.935,0.38
2060000,863.405,-0.952,0.337
2070000,1023.165,-0.85,0.544
2080000,1188.535,-0.763,0.659
2090000,1348.559,-0.78,0.638
2100000,1514.664,-0.718,0.705
2110000,1839.945,-0.704,0.717
2120000,2005.874,-0.684,0.736
2130000,2172.87,-0.688,0.732
2140000,2340.028,-0.734,0.686
2150000,2507.022,-0.704,0.717
2160000,2674.271,-0.726,0.695
2170000,2842.226,-0.726,0.695
2180000,3008.946,-0.708,0.713
2190000,3175.213,-0.717,0.703
2200000,3341.623,-0.674,0.745
2210000,3670.335,-0.714,0.707
2220000,3836.067,-0.714,0.707
2230000,4001.829,-0.721,0.7
2240000,4167.931,-0.696,0.724
2250000,4333.623,-0.705,0.716
2260000,4497.128,-0.731,0.689
2270000,4658.143,-0.707,0.714
2280000,4819.434,-0.699,0.721
2290000,4981.601,-0.721,0.7
2300000,5142.393,-0.721,0.699
2310000,5465.879,-0.684,0.736
2320000,5627.378,-0.706,0.715
2330000,5790.688,-0.712,0.709
2340000,5952.195,-0.736,0.684
2350000,6115.089,-0.693,0.727
2360000,6279.504,-0.744,0.675
2370000,6445.586,-0.702,0.719
2380000,6614.736,-0.696,0.724
2390000,6796.878,-0.728,0.693
2400000,6980.758,-0.706,0.715
2410000,7331.888,-0.736,0.684
2420000,7503.362,-0.727,0.694
2430000,7673.344,-0.736,0.684
2440000,7844.297,-0.757,0.661
2450000,8016.159,-0.709,0.712
2460000,8192.208,-0.697,0.724
2470000,8375.525,-0.696,0.724
2480000,8558.865,-0.737,0.683
2490000,8737.549,-0.732,0.689
2500000,8908.369,-0.702,0.719
2510000,9246.958,-0.707,0.714
2520000,9406.015,-0.738,0.682
2530000,9567.699,-0.726,0.695
2540000,9727.174,-0.745,0.675
2550000,9885.56,-0.717,0.704
2560000,10044.623,-0.726,0.695
2570000,10204.022,-0.709,0.712
2580000,10363.585,-0.746,0.674
2590000,10524.424,-0.729,0.691
2600000,10685.991,-0.734,0.686
2610000,11026.371,-0.709,0.713
2620000,11187.292,-0.755,0.663
2630000,11348.429,-0.686,0.733
2640000,11510.054,-0.701,0.72
2650000,11671.228,-0.777,0.637
2660000,11832.536,-0.725,0.696
2670000,11994.288,-0.712,0.71
2680000,12156.361,-0.714,0.707
2690000,12318.036,-0.755,0.664
2700000,12479.749,-0.724,0.697
2710000,12821.585,-0.7,0.721
2720000,12983.077,-0.732,0.689
2730000,13143.783,-0.709,0.712
2740000,13304.579,-0.686,0.734
2750000,13466.042,-0.75,0.669
