step,time_elapsed,mean_reward,std_reward
1000,9.408,-0.872,0.507
2000,11.978,-0.82,0.585
3000,14.672,-0.901,0.453
4000,17.267,-0.941,0.367
5000,19.965,-0.965,0.298
6000,22.6,-0.917,0.424
7000,25.595,-0.899,0.454
8000,28.74,-0.861,0.525
9000,31.452,-0.961,0.315
10000,34.483,-0.931,0.398
11000,107.199,-0.912,0.426
12000,180.767,-0.852,0.533
13000,258.406,-0.886,0.475
14000,319.722,-0.805,0.605
15000,397.493,-0.684,0.739
16000,467.405,-0.755,0.667
17000,555.189,-0.781,0.639
18000,626.057,-0.846,0.549
19000,702.721,-0.774,0.644
20000,778.661,-0.809,0.601
21000,852.589,-0.801,0.61
22000,939.721,-0.728,0.694
23000,1013.622,-0.864,0.517
24000,1100.071,-0.709,0.713
25000,1168.211,-0.816,0.591
26000,1244.029,-0.929,0.392
27000,1332.599,-0.913,0.425
28000,1399.463,-0.778,0.638
29000,1484.945,-0.825,0.578
30000,1558.886,-0.85,0.54
31000,1632.164,-0.837,0.56
32000,1714.24,-0.813,0.593
33000,1779.149,-0.883,0.485
34000,1862.145,-0.864,0.517
35000,1939.75,-0.84,0.555
36000,2025.183,-0.916,0.421
37000,2093.638,-0.92,0.41
38000,2177.939,-0.813,0.593
39000,2257.474,-0.812,0.593
40000,2344.001,-0.792,0.621
41000,2415.036,-0.844,0.549
42000,2497.911,-0.875,0.498
43000,2583.836,-0.9,0.452
44000,2664.011,-0.861,0.521
45000,2750.231,-0.884,0.482
46000,2831.73,-0.856,0.529
47000,2905.807,-0.843,0.551
48000,2992.487,-0.882,0.486
49000,3067.999,-0.801,0.61
50000,3147.186,-0.872,0.504
51000,9.784,-0.839,0.553
52000,12.698,-0.863,0.514
53000,15.586,-0.88,0.486
54000,18.548,-0.827,0.571
55000,21.509,-0.834,0.559
56000,24.617,-0.913,0.42
57000,27.554,-0.887,0.472
58000,30.483,-0.882,0.482
59000,33.489,-0.899,0.449
60000,36.438,-0.896,0.457
61000,46.654,-0.867,0.51
62000,57.87,-0.79,0.624
63000,67.01,-0.868,0.509
64000,77.874,-0.804,0.605
65000,89.58,-0.806,0.602
66000,100.41,-0.819,0.583
67000,109.846,-0.834,0.564
68000,121.407,-0.82,0.585
69000,131.052,-0.866,0.513
70000,141.872,-0.832,0.565
71000,152.63,-0.873,0.501
72000,163.19,-0.89,0.471
73000,173.12,-0.788,0.626
74000,184.419,-0.881,0.488
75000,194.755,-0.82,0.585
76000,205.973,-0.85,0.54
77000,217.52,-0.856,0.527
78000,227.472,-0.818,0.587
79000,237.317,-0.79,0.623
80000,248.2,-0.782,0.633
81000,259.774,-0.754,0.667
82000,270.693,-0.857,0.527
83000,280.294,-0.898,0.456
84000,291.402,-0.806,0.602
85000,302.499,-0.848,0.541
86000,312.812,-0.914,0.424
87000,323.461,-0.874,0.502
88000,333.754,-0.705,0.716
89000,345.828,-0.895,0.462
90000,355.439,-0.831,0.568
91000,366.73,-0.765,0.653
92000,376.419,-0.863,0.519
93000,387.9,-0.857,0.529
94000,398.878,-0.82,0.586
95000,408.232,-0.801,0.61
96000,419.194,-0.804,0.604
97000,431.179,-0.857,0.528
98000,441.941,-0.887,0.48
99000,452.912,-0.809,0.601
100000,462.197,-0.752,0.67
101000,473.959,-0.754,0.666
102000,485.292,-0.869,0.509
103000,495.106,-0.865,0.514
104000,506.044,-0.85,0.54
105000,516.419,-0.829,0.573
106000,527.297,-0.847,0.544
107000,538.832,-0.858,0.531
108000,549.125,-0.855,0.532
109000,559.069,-0.879,0.492
110000,569.976,-0.846,0.548
111000,580.733,-0.907,0.439
112000,591.146,-0.759,0.661
113000,603.666,-0.816,0.589
114000,614.025,-0.834,0.565
115000,624.376,-0.871,0.506
116000,635.564,-0.903,0.45
117000,645.347,-0.923,0.408
118000,657.555,-0.893,0.467
119000,667.159,-0.883,0.484
120000,677.658,-0.851,0.54
121000,689.82,-0.891,0.47
122000,698.836,-0.783,0.633
123000,710.036,-0.908,0.437
124000,721.414,-0.812,0.597
125000,731.815,-0.805,0.606
126000,743.031,-0.764,0.655
127000,752.376,-0.875,0.501
128000,764.309,-0.804,0.609
129000,775.349,-0.771,0.647
130000,786.438,-0.883,0.486
131000,797.258,-0.809,0.6
132000,805.936,-0.948,0.345
133000,818.537,-0.784,0.631
134000,828.489,-0.811,0.599
135000,839.761,-0.908,0.438
136000,850.405,-0.826,0.579
137000,861.53,-0.868,0.512
138000,871.648,-0.896,0.46
139000,883.802,-0.89,0.473
140000,894.461,-0.891,0.47
141000,904.376,-0.843,0.55
142000,915.641,-0.757,0.665
143000,927.008,-0.926,0.4
144000,937.971,-0.844,0.551
145000,946.731,-0.846,0.548
146000,959.555,-0.793,0.621
147000,970.158,-0.909,0.436
148000,980.791,-0.868,0.513
149000,991.573,-0.827,0.575
150000,1002.273,-0.831,0.569
151000,1013.267,-0.97,0.275
152000,1024.392,-0.715,0.709
153000,1035.638,-0.744,0.679
154000,1046.635,-0.662,0.757
155000,1056.356,-0.83,0.57
156000,1066.765,-0.931,0.386
157000,1078.191,-0.795,0.619
158000,1088.108,-0.826,0.575
159000,1100.611,-0.739,0.682
160000,1111.399,-0.829,0.572
161000,1120.489,-0.883,0.487
162000,1133.065,-0.859,0.526
163000,1143.387,-0.834,0.565
164000,1154.947,-0.803,0.607
165000,1164.308,-0.838,0.561
166000,1174.809,-0.769,0.65
167000,1185.756,-0.772,0.647
168000,1197.894,-0.784,0.631
169000,1207.705,-0.83,0.572
170000,1218.701,-0.891,0.471
171000,1230.727,-0.894,0.465
172000,1241.41,-0.865,0.516
173000,1251.605,-0.87,0.511
174000,1262.915,-0.727,0.697
175000,1272.263,-0.883,0.487
176000,1283.635,-0.839,0.557
177000,1294.968,-0.673,0.749
178000,1305.241,-0.853,0.535
179000,1316.713,-0.805,0.604
180000,1326.982,-0.795,0.618
181000,1338.412,-0.855,0.535
182000,1347.898,-0.924,0.406
183000,1359.606,-0.811,0.595
184000,1371.038,-0.78,0.637
185000,1382.089,-0.844,0.549
186000,1391.28,-0.879,0.494
187000,1402.746,-0.778,0.639
188000,1413.971,-0.946,0.35
189000,1424.107,-0.811,0.597
190000,1435.75,-0.818,0.588
191000,1446.751,-0.846,0.547
192000,1457.906,-0.762,0.659
193000,1469.01,-0.846,0.547
194000,1478.713,-0.743,0.68
195000,1489.727,-0.795,0.617
196000,1501.958,-0.76,0.661
197000,1512.176,-0.815,0.592
198000,1522.865,-0.869,0.51
199000,1532.56,-0.805,0.604
200000,1542.599,-0.809,0.6
201000,1553.621,-0.87,0.508
